player_id,player_name,position
731,Kevin Santos Lopes de Macedo,MID
120,Kevin Schade,MID
638,Ki-Jana Hoever,DEF
820,Kian McMahon-Brown,MID
746,Kieran Morrison,MID
478,Kieran Trippier,DEF
242,Kiernan Dewsbury-Hall,MID
117,Kim Ji-soo,DEF
142,Kjell Scherpen,GK
458,Kobbie Mainoo,MID
606,Konstantinos Mavropanos,DEF
377,Konstantinos Tsimikas,DEF
108,Kristoffer Ajer,DEF
602,Krisztián Hegyi,GK
187,Kyle Walker,DEF
659,Kyle Walker-Peters,DEF
709,Ladislav Krejcí,DEF
44,Lamare Bogarde,DEF
743,Landon Emenalo,MID
357,Largie Ramazani,MID
61,Leander Dendoncker,MID
20,Leandro Trossard,MID
444,Leny Yoro,DEF
536,Leo Fuhr Hjelde,DEF
765,Leo Shahar,DEF
49,Leon Bailey,MID
657,Leon Chiwome,FWD
768,Leon Routh,DEF
676,Lesley Ugochukwu,MID
227,Levi Samuels Colwill,DEF
88,Lewis Cook,MID
57,Lewis Dobbin,MID
146,Lewis Dunk,DEF
473,Lewis Hall,DEF
497,Lewis Miley,MID
520,Lewis O'Brien,MID
622,Lewis Orford,MID
250,Liam Delap,FWD
45,Lino da Cruz Sousa,DEF
437,Lisandro Martínez,DEF
805,Lorenzo Lucca,FWD
210,Loum Tchaouna,MID
208,Luca Koleosho,MID
814,Luca Netz,DEF
586,Lucas Bergvall,MID
37,Lucas Digne,DEF
665,Lucas Estella Perri,GK
195,Lucas Pires Silva,DEF
612,Lucas Tolentino Coelho de Lima,MID
790,Lucá Williams-Barnett,MID
383,Luis Díaz Marulanda,MID
729,Luis Eduardo Soares da Silva,DEF
619,Luis Guilherme Lira dos Santos,MID
91,Luis Sinisterra Lucumí,MID
810,Luka Bentt,MID
578,Luka Vušković,DEF
365,Lukas Nmecha,FWD
738,Lukasz Fabianski,GK
334,Luke Harris,MID
539,Luke O'Nien,DEF
767,Luke Rawlings,MID
443,Luke Shaw,DEF
724,Lutsharel Geertruida,DEF
563,Luís Hemir Silva Semedo,FWD
217,Lyle Foster,FWD
679,Mads Hermansen,GK
112,Mads Roerslev Rasmussen,DEF
277,Malcolm Ebiowei,MID
756,Malcom DaCosta,MID
14,Maldini Kacurri,DEF
684,Malick Thiaw,DEF
174,Malick Yalcouyé,MID
228,Malo Gusto,DEF
231,Mamadou Sarr,DEF
589,Manor Solomon,MID
404,Manuel Akanji,DEF
201,Manuel Benson Hedilazio,MID
459,Manuel Ugarte Ribeiro,MID
224,Marc Cucurella Saseta,DEF
252,Marc Guiu Paz,FWD
260,Marc Guéhi,DEF
33,Marco Bizot,GK
72,Marcos Senesi Barón,DEF
401,Marcus Bettinelli,GK
206,Marcus Edwards,MID
451,Marcus Rashford,MID
84,Marcus Tavernier,MID
471,Mark Gillespie,GK
288,Mark Travers,GK
524,Marko Stamenić,MID
759,Marli Salmon,DEF
648,Marshall Munetsi,MID
333,Martial Godo,MID
470,Martin Dúbravka,GK
313,Martin Sherif,FWD
17,Martin Ødegaard,MID
26,Martín Zubimendi Ibáñez,MID
455,Mason Mount,MID
75,Matai Akinmboni,DEF
364,Mateo Joseph Fernández-Regatillo,FWD
422,Mateo Kovačić,MID
708,Mateus Gonçalo Espanha Fernandes,MID
749,Mateus Mané,FWD
279,Matheus França de Oliveira,MID
407,Matheus Nunes,DEF
450,Matheus Santos Carneiro da Cunha,MID
126,Mathias Jensen,MID
584,Mathys Tel,MID
173,Mats Wieffer,MID
632,Matt Doherty,DEF
164,Matt O'Riley,MID
484,Matt Targett,DEF
504,Matt Turner,GK
103,Matthew Cox,GK
436,Matthijs de Ligt,DEF
36,Matty Cash,DEF
502,Matz Sels,GK
794,Max Alleyne,DEF
700,Max Dowman,MID
789,Max Merrick,GK
183,Max Weiß,GK
257,Maxence Lacroix,DEF
145,Maxim De Cuyper,DEF
191,Maxime Estève,DEF
605,Maximilian Kilman,DEF
617,Maxwel Cornet,MID
812,Melker Ellborg,GK
728,Merlin Röhl,MID
110,Michael Kayode,DEF
295,Michael Keane,DEF
219,Michael Obafemi,FWD
575,Micky van de Ven,DEF
222,Mike Penders,GK
214,Mike Trésor Ndayishimiye,MID
22,Mikel Merino Zazón,MID
592,Mikey Moore,MID
121,Mikkel Damsgaard,MID
546,Milan Aleksić,MID
371,Milos Kerkez,DEF
483,Miodrag Pivaš,DEF
157,Mitoma Kaoru,MID
